Ticker,Stock_Name,Strategy,Strategy_Description,Final_Capital,Total_Return_%,Annualized_Return_%,Max_Drawdown_%,Win_Rate_%,Avg_Trade_PnL,Total_Trades,Years,Buy_Hold_Total_%,Buy_Hold_Annualized_%,Outperform_BuyHold
NVDA,NVIDIA,Conservative_5%_OTM,"5% Out-of-Money, 1 contract, low risk",69098.63077584472,38.197261551689444,5.729192970093089,-1.0326441045095665,91.77631578947368,62.82444334159429,304,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,Moderate_3%_OTM,"3% Out-of-Money, 1 contract",65458.74774376118,30.917495487522363,4.748488085770508,-1.7788366458936908,87.17105263157895,50.85114389395113,304,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,Aggressive_ATM,"At-the-Money, higher premium",56277.6161736604,12.555232347320795,2.0576363373466133,-4.258897856370353,74.3421052631579,20.650053202830115,304,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,Deep_OTM_10%,"10% Out-of-Money, safer but lower premium",73080.20536605082,46.160410732101646,6.754147361685492,-0.24623543213015994,97.69736842105263,75.92172817779868,304,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,VIX_Adaptive,Adjust position size based on volatility,69098.63077584472,38.197261551689444,5.729192970093089,-1.0326441045095665,91.77631578947368,62.82444334159429,304,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,High_Vol_Only,"Only trade when volatility > 30%, better premiums",66335.81852669446,32.67163705338893,4.988851669909233,-1.0776061818460407,90.78341013824884,75.2802697082692,217,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,Monthly_5%_OTM,"Monthly expiration, 5% OTM",61103.79098628726,22.207581972574523,3.5497028587463175,0.0,100.0,146.10251297746376,76,5.749486652977413,3830.6262418772462,89.37491645449522,NO
NVDA,NVIDIA,Size_By_Price,More contracts for cheaper stocks,90618.00085762501,81.23600171525001,10.78255532155794,-1.451280889858403,91.77631578947368,133.61184492639794,304,5.806981519507187,3830.6262418772462,88.1813966109311,NO
NVDA,NVIDIA,Defensive_Only_Bear,Only trade when market is down (buying opportunity),56266.98206495018,12.533964129900358,2.0543151419077033,-1.2174061447614686,86.82170542635659,48.581256317443085,129,5.806981519507187,3830.6262418772462,88.1813966109311,NO
TSLA,Tesla,Conservative_5%_OTM,"5% Out-of-Money, 1 contract, low risk",164701.26222619595,229.4025244523919,22.78800541643853,-3.7386086381418506,88.1578947368421,377.30678363880224,304,5.806981519507187,1079.6878081640334,52.955559294364576,NO
